HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:50279	MT-LIPCAR	mitochondrially encoded long non-coding cardiac associated RNA	Approved	RNA, long non-coding		uc022bqs.1, LIPCAR	mitochondria				1976	Mitochondrially encoded long non-coding RNAs
HGNC:7414	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6	Approved	gene with protein product	MTATP6, RP	ATP6, ATPase-6, Su6m	mitochondria	4508	ENSG00000198899		1974	Mitochondrially encoded protein coding genes
HGNC:7415	MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8	Approved	gene with protein product	MTATP8	ATP8, A6L	mitochondria	4509	ENSG00000228253		1974	Mitochondrially encoded protein coding genes
HGNC:7419	MT-CO1	mitochondrially encoded cytochrome c oxidase I	Approved	gene with protein product	MTCO1	COX1, COI	mitochondria	4512	ENSG00000198804		1974	Mitochondrially encoded protein coding genes
HGNC:7421	MT-CO2	mitochondrially encoded cytochrome c oxidase II	Approved	gene with protein product	MTCO2	COX2, CO2	mitochondria	4513	ENSG00000198712		1974	Mitochondrially encoded protein coding genes
HGNC:7422	MT-CO3	mitochondrially encoded cytochrome c oxidase III	Approved	gene with protein product	MTCO3	COX3, COIII, CO3	mitochondria	4514	ENSG00000198938		1974	Mitochondrially encoded protein coding genes
HGNC:7427	MT-CYB	mitochondrially encoded cytochrome b	Approved	gene with protein product	MTCYB	COB, CYTB, UQCR3	mitochondria	4519	ENSG00000198727		1974	Mitochondrially encoded protein coding genes
HGNC:7455	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	Approved	gene with protein product	MTND1	ND1, NAD1	mitochondria	4535	ENSG00000198888		1974	Mitochondrially encoded protein coding genes
HGNC:7456	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	Approved	gene with protein product	MTND2	ND2, NAD2	mitochondria	4536	ENSG00000198763		1974	Mitochondrially encoded protein coding genes
HGNC:7458	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	Approved	gene with protein product	MTND3	ND3, NAD3	mitochondria	4537	ENSG00000198840		1974	Mitochondrially encoded protein coding genes
