"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"00158ef1","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","00158ef1",5309,213667,9034,0.0422807452718482,"Unknown"
"00526118","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","00526118",8959,624928,147246,0.235620743509652,"Unknown"
"006d209f","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","006d209f",1092,18592,12830,0.690081755593804,"Unknown"
"0075f92c","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","0075f92c",7619,305292,6621,0.0216874336700601,"Unknown"
"0085107d","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","0085107d",5662,153204,4227,0.0275906634291533,"Unknown"
"00a70708","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","00a70708",6119,260944,23609,0.0904753510331719,"Unknown"
"00d78317","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","00d78317",1863,44813,21731,0.484926249079508,"Unknown"
"01669fde","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","01669fde",2943,44818,6482,0.144629389977241,"Endothelial cells"
"01953dc2","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","01953dc2",4702,95206,3325,0.0349242694788144,"Unknown"
"020376cd","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","020376cd",1799,36815,19578,0.531794105663452,"Unknown"
"0211c6c5","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","0211c6c5",1069,19067,202,0.0105942203807626,"Unknown"
"026b97fd","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","026b97fd",2067,34479,10249,0.297253400620668,"Unknown"
"027689c7","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","027689c7",6856,263819,9194,0.0348496507074926,"Unknown"
"02ab1793","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","02ab1793",3050,108465,25037,0.230830221730512,"Endothelial cells"
"02e99b87","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","02e99b87",1825,35803,19926,0.556545540876463,"Unknown"
"03370290","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","03370290",2420,41149,7060,0.171571605628326,"Unknown"
"03436f5a","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","03436f5a",3410,82970,2489,0.0299987947450886,"Endothelial cells"
"0368926f","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","0368926f",8339,787171,38653,0.0491036890332596,"Unknown"
"04560f64","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","04560f64",4922,96102,2710,0.0281992050113421,"Unknown"
"04635b04","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","04635b04",2707,55018,12771,0.232124032134938,"Unknown"
"04b23fd3","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","04b23fd3",4375,131348,11329,0.0862517891402991,"Unknown"
"04ce9d87","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","04ce9d87",2967,82671,9189,0.111151431578183,"Unknown"
"04f42b45","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","04f42b45",5071,192334,6715,0.0349132238709745,"Unknown"
"053273b2","SRA615504","SRS2553349","Mus musculus","C1 Fluidigm","Kidney","053273b2",4431,112034,3876,0.0345966403056215,"Unknown"
