"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"0czhUOpU","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","0czhUOpU",4513,369711,4057,0.0109734360081253,"Fibroblasts"
"0GTH6eoO","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","0GTH6eoO",6660,313907,6345,0.0202129930202257,"Urothelial cells"
"0Wi1Vl6d","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","0Wi1Vl6d",6192,480210,11709,0.0243830824014494,"Urothelial cells"
"1kkTRHFt","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","1kkTRHFt",2700,311009,4660,0.0149834892237845,"Urothelial cells"
"1mlh7pp5","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","1mlh7pp5",2691,300631,4325,0.0143864072567367,"Urothelial cells"
"1ynRBiXy","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","1ynRBiXy",1170,43639,463,0.0106097756593872,"Fibroblasts"
"27ua3Lvm","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","27ua3Lvm",4766,343238,2471,0.00719908634824815,"Fibroblasts"
"2GRi4u24","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","2GRi4u24",2524,155998,1234,0.00791035782510032,"Fibroblasts"
"2slB8VE6","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","2slB8VE6",6115,475948,14242,0.0299234370141276,"Urothelial cells"
"2sXoAyVn","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","2sXoAyVn",4508,676609,13346,0.0197248336927236,"Urothelial cells"
"2URQVvJf","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","2URQVvJf",4259,267002,3430,0.0128463457202568,"Fibroblasts"
"2VFJAP7O","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","2VFJAP7O",5553,383418,6637,0.0173100897714766,"Epithelial cells"
"384e9acB","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","384e9acB",4065,311631,4854,0.0155761140579724,"Fibroblasts"
"4uCOeVqb","SRA653146","SRS2874268","Mus musculus","SMART-seq2","Bladder","4uCOeVqb",4279,203213,1976,0.00972378735612387,"Fibroblasts"
