"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"0im6xrlg","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","0im6xrlg",2571,317127,3181,0.0100306817142659,"Microglia"
"0PhMyKar","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","0PhMyKar",1657,365586,5543,0.0151619591559852,"Microglia"
"16Exwxyr","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","16Exwxyr",2694,622851,5389,0.00865214955101621,"Microglia"
"16qEvgdH","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","16qEvgdH",2849,614786,14690,0.0238944933684241,"Microglia"
"18EC8pau","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","18EC8pau",3004,421494,5280,0.0125268687098749,"Microglia"
"1FXNXs0Z","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","1FXNXs0Z",3305,606532,8040,0.0132556897245323,"Microglia"
"1SgwhvLj","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","1SgwhvLj",2216,242732,2328,0.0095908244483628,"Microglia"
"3AJ6qvmw","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","3AJ6qvmw",1990,139439,2490,0.0178572709213348,"Microglia"
"5cyxpjcT","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","5cyxpjcT",2715,493120,7761,0.0157385626216742,"Microglia"
"5EexNDF4","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","5EexNDF4",2604,217609,2713,0.0124673152305281,"Microglia"
"5G9UvW3U","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","5G9UvW3U",2469,888162,10084,0.0113537845573217,"Microglia"
"5gjMvn5J","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","5gjMvn5J",2373,337349,4163,0.0123403359725388,"Microglia"
"5GTYND2F","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","5GTYND2F",2622,1047016,10538,0.0100647936612239,"Microglia"
"5hZK4PUe","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","5hZK4PUe",2404,271446,4621,0.0170236437449806,"Microglia"
"5xJq7moZ","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","5xJq7moZ",1836,316067,2987,0.00945052789440214,"Microglia"
"5YE7ZTBd","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","5YE7ZTBd",2481,275208,4913,0.0178519519781402,"Microglia"
"6l7sZ150","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","6l7sZ150",2834,928742,9987,0.0107532554789166,"Microglia"
"7Ulye0d4","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","7Ulye0d4",2767,494921,9865,0.0199324740716195,"Microglia"
"86JBlOU9","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","86JBlOU9",3132,397475,7630,0.019196175860117,"Microglia"
"8Hi49IRV","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","8Hi49IRV",2371,809382,3653,0.00451332003923981,"Microglia"
"8NAAWK1o","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","8NAAWK1o",2585,233176,2856,0.0122482588259512,"Microglia"
"8Se8zkbx","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","8Se8zkbx",2782,477764,9461,0.0198026640768245,"Microglia"
"8ZLhqr43","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","8ZLhqr43",2150,156078,2349,0.0150501672240803,"Microglia"
"96YT6obp","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","96YT6obp",2277,258965,2693,0.0103990886799374,"Microglia"
"9bo2jPaF","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","9bo2jPaF",2399,285796,4864,0.017019132528097,"Microglia"
"9f2a0P3Z","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","9f2a0P3Z",3030,243243,2932,0.0120537898315676,"Microglia"
"9FsTezS8","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","9FsTezS8",3147,371342,7008,0.0188720909565845,"Microglia"
"Afv12C9f","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","Afv12C9f",2054,170016,4635,0.0272621400338792,"Microglia"
"aOuTRg2W","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","aOuTRg2W",2740,934342,9287,0.00993961525865261,"Microglia"
"AqNYoNtf","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","AqNYoNtf",2384,1982011,17553,0.0088561567014512,"Microglia"
"ASnhG6Bs","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","ASnhG6Bs",2574,1060913,7293,0.00687426772977615,"Microglia"
"atbAQZV7","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","atbAQZV7",2390,227866,1609,0.00706116752828417,"Microglia"
"aYgGtgve","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","aYgGtgve",2977,571662,8293,0.0145068239624114,"Microglia"
"az8syOIE","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","az8syOIE",2452,666085,6984,0.0104851482918847,"Microglia"
"bk1iDIIL","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","bk1iDIIL",3083,410834,3488,0.00849004707497432,"Microglia"
"brEeZY4T","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","brEeZY4T",393,72751,959,0.0131819493890118,"Microglia"
"Bt12cKVf","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","Bt12cKVf",2464,385195,3832,0.00994820805046794,"Microglia"
"CazW5LrZ","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","CazW5LrZ",2377,217325,2670,0.0122857471528816,"Microglia"
"CLaKtMpv","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","CLaKtMpv",2841,1309448,8804,0.00672344377172671,"Microglia"
"d6cRzC0r","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","d6cRzC0r",2696,454423,5128,0.0112846400820381,"Microglia"
"DBdrcdQH","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","DBdrcdQH",1793,189398,1966,0.0103802574472803,"Microglia"
"dfQz94WL","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","dfQz94WL",2528,112687,658,0.00583918286936381,"Microglia"
"doPgZ8dZ","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","doPgZ8dZ",2680,647592,5618,0.00867521525899023,"Microglia"
"DQlRcnsf","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","DQlRcnsf",2780,196898,1614,0.00819713760424179,"Microglia"
"DQRcXvqC","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","DQRcXvqC",2180,297311,6115,0.020567688380181,"Microglia"
"e0qTklBx","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","e0qTklBx",1609,294100,3436,0.0116831009860592,"Microglia"
"E9utM51i","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","E9utM51i",1471,244682,855,0.00349433141792204,"Microglia"
"eaS4jpeI","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","eaS4jpeI",2571,188999,2240,0.0118519145603945,"Microglia"
"EFFibktN","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","EFFibktN",2904,468484,4116,0.00878578564049146,"Microglia"
"EvYIWxQa","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","EvYIWxQa",3445,2011253,17734,0.00881738896101087,"Microglia"
"EZGBdjeT","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","EZGBdjeT",2655,419100,6204,0.0148031496062992,"Microglia"
"eZmJ2sW3","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","eZmJ2sW3",1856,320591,2834,0.00883992376579505,"Microglia"
"fBEN5UQd","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","fBEN5UQd",2550,178926,2194,0.0122620524686183,"Microglia"
"FC5SAJPE","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","FC5SAJPE",1968,138471,2563,0.0185092907540207,"Microglia"
"fdIdYsYa","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","fdIdYsYa",2052,206607,1957,0.00947208952262024,"Microglia"
"FdZCBd8b","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","FdZCBd8b",2386,320438,4000,0.0124829140114468,"Microglia"
"FpB9dOzS","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","FpB9dOzS",2546,106992,584,0.00545835202631972,"Microglia"
"FUgO3KOp","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","FUgO3KOp",2752,306515,46,0.000150074221489976,"Microglia"
"GcYjQNff","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","GcYjQNff",2627,1000685,10334,0.0103269260556519,"Microglia"
"gmysHEWe","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","gmysHEWe",2553,204191,1827,0.00894750503205332,"Microglia"
"GRVUU5xO","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","GRVUU5xO",2779,1068067,4638,0.00434242421121521,"Microglia"
"h4fBucVI","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","h4fBucVI",2976,1006920,19492,0.019358042346959,"Microglia"
"hcyPabsj","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","hcyPabsj",2381,401515,781,0.00194513280948408,"Microglia"
"hHYUtLMF","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","hHYUtLMF",2282,346615,4993,0.0144050315191206,"Microglia"
"hIJhjy9J","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","hIJhjy9J",2526,338924,5727,0.0168975935607983,"Microglia"
"hMTdm5Vc","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","hMTdm5Vc",2932,358141,4678,0.0130618946169246,"Microglia"
"HN3qjV0D","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","HN3qjV0D",2415,212417,2605,0.0122636135525876,"Microglia"
"HxirTVmC","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","HxirTVmC",2544,216002,1997,0.0092452847658818,"Microglia"
"I9u4jqGB","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","I9u4jqGB",2638,199209,2745,0.0137794979142509,"Microglia"
"iehnBFSO","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","iehnBFSO",2637,1127950,10776,0.00955361496520236,"Microglia"
"iL3v1Umg","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","iL3v1Umg",2755,333842,28,8.38720113107398e-05,"Microglia"
"iVtMPSSt","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","iVtMPSSt",2142,301442,1821,0.00604096310401338,"Microglia"
"IyIpxitM","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","IyIpxitM",2595,1022787,6753,0.00660254774454505,"Microglia"
"iYOUfbs2","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","iYOUfbs2",1537,186847,1852,0.0099118530134281,"Microglia"
"jBWhcm2O","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","jBWhcm2O",2323,164473,1716,0.0104333234026254,"Microglia"
"JpI9FoGI","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","JpI9FoGI",2436,705608,7403,0.0104916610922779,"Microglia"
"k97nPtpp","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","k97nPtpp",1787,342769,2017,0.00588442945540583,"Microglia"
"kFZCMEfF","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","kFZCMEfF",2514,347967,6164,0.0177143234846983,"Microglia"
"Kg8plpbN","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","Kg8plpbN",2069,329726,4567,0.0138508943789692,"Microglia"
"KnPuUnDG","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","KnPuUnDG",421,70296,903,0.0128456811198361,"Microglia"
"kWpYLIbd","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","kWpYLIbd",2402,159942,1742,0.0108914481499544,"Microglia"
"KYdOkvb9","SRA653146","SRS2874269","Mus musculus","SMART-seq2","Microglia","KYdOkvb9",2708,190277,2743,0.0144158253493591,"Microglia"
