"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"0BS7HJE8","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","0BS7HJE8",1575,40186,6018,0.149753645548201,"Astrocytes"
"0nJnCvoL","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","0nJnCvoL",3887,323936,11342,0.0350130890052356,"Oligodendrocytes"
"189sIONK","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","189sIONK",2928,126546,2705,0.0213756262544845,"Oligodendrocytes"
"1Pz5THKM","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","1Pz5THKM",503,14922,2175,0.145757941294733,"Astrocytes"
"2AvAQ0Eg","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","2AvAQ0Eg",2662,107365,2876,0.026787128021236,"Oligodendrocytes"
"2y5X4gcX","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","2y5X4gcX",693,55275,10326,0.186811397557666,"Astrocytes"
"36N3ykSZ","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","36N3ykSZ",3677,191729,8591,0.0448080363429632,"Oligodendrocytes"
"3NWFsdXY","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","3NWFsdXY",2365,114800,3140,0.0273519163763066,"Endothelial cells"
"3VRyvWhZ","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","3VRyvWhZ",4197,252192,9660,0.0383041492196422,"Oligodendrocytes"
"4JsgYdi4","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","4JsgYdi4",5014,319930,6408,0.0200293814271872,"Oligodendrocytes"
"5FpezMkI","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","5FpezMkI",797,12268,6175,0.50334202804043,"Unknown"
"5QrJUCTQ","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","5QrJUCTQ",2383,108715,2869,0.026390102561744,"Endothelial cells"
"5VkMQgIg","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","5VkMQgIg",4224,128380,3837,0.0298878329957937,"Oligodendrocyte progenitor cells"
"5xw1oHck","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","5xw1oHck",3947,151896,3606,0.0237399273186917,"Endothelial cells"
"64Sl7ZxL","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","64Sl7ZxL",4156,235033,9103,0.0387307314292036,"Oligodendrocytes"
"69Qhmv7P","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","69Qhmv7P",437,121259,40790,0.33638740217221,"Unknown"
"6BxcJpVh","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","6BxcJpVh",1628,111103,4690,0.0422130815549535,"Astrocytes"
"6MMkt3SF","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","6MMkt3SF",416,15758,11753,0.745843381139739,"Unknown"
"6P3E1MeF","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","6P3E1MeF",1561,37240,5743,0.15421589688507,"Astrocytes"
"6P65zoyN","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","6P65zoyN",3420,194597,5516,0.0283457607260132,"Oligodendrocytes"
"6VY7HF0V","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","6VY7HF0V",2171,43892,3980,0.0906771165588262,"Astrocytes"
"6yUVFqrA","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","6yUVFqrA",2287,80974,4109,0.0507446834786475,"Oligodendrocytes"
"7GG35FpI","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","7GG35FpI",263,19835,12397,0.625006301991429,"Unknown"
"7jGtTWb6","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","7jGtTWb6",3912,360426,12021,0.0333521998967888,"Oligodendrocytes"
"8l7W2S0U","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","8l7W2S0U",4869,197840,3335,0.016857056207036,"Oligodendrocyte progenitor cells"
"8m1NLuUY","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","8m1NLuUY",3855,194603,2508,0.0128877766529807,"Oligodendrocyte progenitor cells"
"8MiroYwA","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","8MiroYwA",3380,179890,3522,0.0195786313858469,"Oligodendrocytes"
"9LOccMx5","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","9LOccMx5",1185,47921,4492,0.0937376098161558,"Astrocytes"
"9qOqvpRg","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","9qOqvpRg",2565,156219,40826,0.261338249508703,"Astrocytes"
"A0bVwvEs","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","A0bVwvEs",1161,44348,4225,0.0952692342382971,"Astrocytes"
"A0XrbwGv","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","A0XrbwGv",3774,411539,11094,0.0269573479062738,"Oligodendrocytes"
"aez5lBe4","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","aez5lBe4",354,17605,4123,0.234194831013916,"Unknown"
"AUdNblYg","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","AUdNblYg",2856,126258,2258,0.0178840152703195,"Oligodendrocytes"
"AuTDrBII","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","AuTDrBII",1171,65031,3073,0.0472543863695776,"Astrocytes"
"avdWRcUU","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","avdWRcUU",3013,77158,4321,0.0560019699836699,"Astrocytes"
"BAKNpxlB","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","BAKNpxlB",1403,46487,2305,0.0495837545980597,"Unknown"
"bQ7vvfst","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","bQ7vvfst",3495,109593,62,0.000565729563019536,"Unknown"
"bxOr6yu4","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","bxOr6yu4",3194,183686,7276,0.0396110754221879,"Oligodendrocytes"
"C9wgnyBm","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","C9wgnyBm",2964,152219,4758,0.0312575959637102,"Oligodendrocytes"
"cGbHK8mi","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","cGbHK8mi",723,30517,10047,0.32922633286365,"Astrocytes"
"cGvql90h","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","cGvql90h",3139,201507,4397,0.0218205819152685,"Oligodendrocytes"
"ckghiQrp","SRA653146","SRS2874270","Mus musculus","SMART-seq2","Brain (neurons)","ckghiQrp",4630,165089,2944,0.017832805335304,"Oligodendrocytes"
