"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"0iba89nz","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","0iba89nz",1542,32848,250,0.00761081344374087,"Fibroblasts"
"0M1h0bSZ","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","0M1h0bSZ",2548,82095,2395,0.0291735184846824,"T memory cells"
"1atZ5rB5","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","1atZ5rB5",2629,104115,3613,0.0347020121980502,"Dendritic cells"
"1GfDwTjT","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","1GfDwTjT",1800,508745,12109,0.0238017081248956,"Endothelial cells"
"1N965FBI","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","1N965FBI",1137,49280,2758,0.0559659090909091,"B cells"
"1vkBS3X1","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","1vkBS3X1",4295,393332,3297,0.00838223180417561,"Fibroblasts"
"1yBXqkuT","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","1yBXqkuT",3665,426367,3372,0.00790867961169603,"Fibroblasts"
"2qXkTJbm","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","2qXkTJbm",2899,151671,2616,0.0172478588523844,"Fibroblasts"
"2SRkK6TV","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","2SRkK6TV",3111,209108,2666,0.0127493926583392,"Fibroblasts"
"3BiBvxvK","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","3BiBvxvK",3481,172625,7736,0.0448139029688631,"T memory cells"
"3LDeCTZ7","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","3LDeCTZ7",2229,113044,1930,0.017072998124624,"Endothelial cells"
"3liKGoNg","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","3liKGoNg",2083,800137,88771,0.110944750711441,"T memory cells"
"4b6mdUuB","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","4b6mdUuB",3095,402353,5726,0.0142312844691105,"Fibroblasts"
"5k4gpeAt","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","5k4gpeAt",3539,293287,1780,0.00606914046650551,"Fibroblasts"
"5s3zxdYs","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","5s3zxdYs",3672,327908,2819,0.00859692352733084,"Fibroblasts"
"5ToVdCM1","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","5ToVdCM1",1865,88526,4805,0.0542778392788559,"B cells"
"62DOiu1g","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","62DOiu1g",751,15946,416,0.0260880471591622,"Endothelial cells"
"6ApfCQr6","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","6ApfCQr6",3075,188881,2068,0.0109486925630423,"Fibroblasts"
"6F03oPyO","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","6F03oPyO",2941,357941,3893,0.0108760941048944,"Fibroblasts"
"78HsavNN","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","78HsavNN",2842,68881,1416,0.0205571928398252,"Fibroblasts"
"7Oa2mPKE","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","7Oa2mPKE",3578,336024,2163,0.00643704021141347,"Fibroblasts"
"7zcqGT7R","SRA653146","SRS2874271","Mus musculus","SMART-seq2","Fat","7zcqGT7R",1662,500279,35162,0.0702847810921506,"T memory cells"
