"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"08TVaUOQ","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","08TVaUOQ",6712,1001393,58027,0.0579462808308027,"Enterocytes"
"0FxVE3Qv","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","0FxVE3Qv",7482,944360,52485,0.0555773222076327,"Enterocytes"
"0Mwbk3Qm","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","0Mwbk3Qm",3353,448038,73080,0.163111164677996,"Enterocytes"
"0yn9My9L","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","0yn9My9L",7216,790286,28055,0.0354998063992023,"Goblet cells"
"14fJn527","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","14fJn527",6596,1145939,61222,0.0534251823177324,"Enterocytes"
"1JQ8mvmC","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","1JQ8mvmC",4185,170317,18047,0.1059612369875,"Goblet cells"
"1MblvxwA","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","1MblvxwA",2456,122132,27594,0.225935872662365,"Enterocytes"
"1wrduMDO","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","1wrduMDO",4807,1248898,116048,0.0929203185528362,"Enterocytes"
"2VoMVOV0","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","2VoMVOV0",2232,177373,43898,0.24748975323189,"Enterocytes"
"31CoumEH","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","31CoumEH",2055,128233,4522,0.0352639336208308,"Goblet cells"
"3Ki40KCC","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","3Ki40KCC",5243,442609,64062,0.144737228569686,"Enterocytes"
"3qMIlZDS","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","3qMIlZDS",2568,136388,16455,0.120648444144646,"Tuft cells"
"3QV5OfHF","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","3QV5OfHF",4250,361956,102908,0.28431080020776,"Epithelial cells"
"3XwQOs8r","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","3XwQOs8r",7324,1260125,84305,0.0669020930463248,"Enterocytes"
"41USmpOu","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","41USmpOu",5996,797854,47124,0.0590634376715539,"Enterocytes"
"4Dsdq5iX","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","4Dsdq5iX",6430,500045,18896,0.0377885990260877,"Goblet cells"
"4s0jU9Zs","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","4s0jU9Zs",3338,471259,99662,0.21148031125135,"Epithelial cells"
"4y44QVxt","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","4y44QVxt",2203,248142,71684,0.288882978294686,"Enterocytes"
"53emniC2","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","53emniC2",3991,409995,68939,0.168145952999427,"Enterocytes"
"5eSpDRhm","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","5eSpDRhm",8177,989504,59332,0.0599613543755255,"Enterocytes"
"5ifRh20W","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","5ifRh20W",3258,522686,157519,0.301364490344107,"Enterocytes"
"66P4VrQe","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","66P4VrQe",7529,1067126,45092,0.042255553702187,"Enterocytes"
"6Bsp1YHv","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","6Bsp1YHv",2045,163545,27567,0.168559112170962,"Epithelial cells"
"6E9BuMjG","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","6E9BuMjG",5513,551168,86674,0.157255138179285,"Enterocytes"
"6FMB5fnL","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","6FMB5fnL",3367,374789,108741,0.290139251685615,"Enterocytes"
"6G71WY2w","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","6G71WY2w",6856,469609,28911,0.0615639819509422,"Enterocytes"
"6PtIRfBX","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","6PtIRfBX",6828,927099,54032,0.058280722986434,"Enterocytes"
"7Auyvhwz","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","7Auyvhwz",5297,795562,87833,0.110403714606781,"Enterocytes"
"7f0tMEvS","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","7f0tMEvS",2841,259083,83895,0.323815148041361,"Epithelial cells"
"7RkNFMrW","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","7RkNFMrW",2186,105469,46336,0.439332884544274,"Enterocytes"
"7RmL84xl","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","7RmL84xl",1162,322509,116123,0.36006126960798,"Epithelial cells"
"89FNAuI7","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","89FNAuI7",4316,484639,78576,0.162133051611612,"Enterocytes"
"8mCF3Cml","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","8mCF3Cml",6671,243134,16216,0.0666957315718904,"Enterocytes"
"a1ma9jto","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","a1ma9jto",2449,124692,51474,0.412809161774613,"Enterocytes"
"aj9fA9TB","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","aj9fA9TB",8091,1440357,116214,0.080684163717745,"Enterocytes"
"aZViBhrR","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","aZViBhrR",6102,747229,70487,0.094331188966167,"Enterocytes"
"bp3FCZis","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","bp3FCZis",6280,521524,20391,0.0390988717681257,"Goblet cells"
"buZqDTKA","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","buZqDTKA",6514,1042106,69589,0.0667772760160675,"Enterocytes"
"cbbNi3rB","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","cbbNi3rB",2490,218252,21622,0.099068966149222,"Epithelial cells"
"CF6cuo23","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","CF6cuo23",5601,563522,14026,0.024889888948435,"Goblet cells"
"CGvGDA0E","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","CGvGDA0E",2268,242990,36961,0.152109140293839,"Epithelial cells"
"ChQEc2qB","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","ChQEc2qB",2608,224079,7203,0.0321449131779417,"Goblet cells"
"ChWtZ3cx","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","ChWtZ3cx",5247,297423,7497,0.0252065240415166,"Goblet cells"
"CnAGkwYm","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","CnAGkwYm",6944,1410309,44320,0.0314257371966002,"Goblet cells"
"CYJpiWrw","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","CYJpiWrw",3904,551677,89903,0.162963110660767,"Enterocytes"
"dbENLxOF","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","dbENLxOF",8115,750470,19530,0.0260236918197929,"Goblet cells"
"dIizOAC1","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","dIizOAC1",7464,534652,17455,0.0326474042928858,"Goblet cells"
"Djv7hlIL","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","Djv7hlIL",6117,1053595,78688,0.0746852443301269,"Enterocytes"
"DleQj5g5","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","DleQj5g5",6090,1249190,104198,0.0834124512684219,"Enterocytes"
"DlwH6Tay","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","DlwH6Tay",6747,613115,15725,0.0256477169862098,"Goblet cells"
"dPAee5kv","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","dPAee5kv",6830,812905,26387,0.0324601275671819,"Goblet cells"
"dTAvvoIv","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","dTAvvoIv",2441,261525,72893,0.278722875442118,"Epithelial cells"
"DTmEOnad","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","DTmEOnad",2229,223990,58800,0.262511719273182,"Epithelial cells"
"DX4OIAdD","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","DX4OIAdD",4211,380040,28273,0.0743948005473108,"Goblet cells"
"dXPri6CG","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","dXPri6CG",6309,659008,47139,0.0715302393901136,"Enterocytes"
"DZBhaYoq","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","DZBhaYoq",6614,1133571,67732,0.0597509992757401,"Enterocytes"
"e4OyGNoD","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","e4OyGNoD",5117,682517,63778,0.0934452914725934,"Enterocytes"
"e5ixFQoS","SRA653146","SRS2874272","Mus musculus","SMART-seq2","Colon","e5ixFQoS",2153,176095,26753,0.151923677560408,"Epithelial cells"
