"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"0AMFAqBe","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","0AMFAqBe",3286,465869,25258,0.0542169579860433,"Macrophages"
"0fvXlYlu","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","0fvXlYlu",154,26412,25731,0.974216265333939,"Unknown"
"0GHhUoI3","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","0GHhUoI3",141,95787,94587,0.98747220395252,"Unknown"
"1aX7fkGe","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","1aX7fkGe",934,34423,31038,0.901664584725329,"Unknown"
"1E9mMzIE","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","1E9mMzIE",191,35286,34816,0.986680269795386,"Unknown"
"2cVj2Xjx","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","2cVj2Xjx",272,80832,78773,0.974527414885194,"Unknown"
"2fonjBe8","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","2fonjBe8",136,28913,27915,0.965482654861135,"Unknown"
"2QS9LllP","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","2QS9LllP",112,51950,50503,0.972146294513956,"Unknown"
"2X9yVoPC","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","2X9yVoPC",121,54278,53478,0.985261063414275,"Unknown"
"35Uo67dE","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","35Uo67dE",1132,181350,11687,0.0644444444444444,"Neutrophils"
"3azdhHGT","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","3azdhHGT",188,27528,26640,0.967741935483871,"Unknown"
"50Ssjm2G","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","50Ssjm2G",938,104512,42293,0.404671233925291,"Endothelial cells"
"5FLgOYrM","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","5FLgOYrM",2078,257449,65561,0.254656262016943,"Endothelial cells"
"61LYNem8","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","61LYNem8",111,45880,45185,0.984851787271142,"Unknown"
"6DPUrrC0","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","6DPUrrC0",144,46183,45580,0.986943247515319,"Unknown"
"6EYRjnkO","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","6EYRjnkO",913,113803,47007,0.413055894835813,"Endothelial cells"
"6QNArKWQ","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","6QNArKWQ",150,58985,57630,0.977028057980843,"Unknown"
"6X9e2TiO","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","6X9e2TiO",1422,73195,5397,0.0737345447093381,"Endothelial cells"
"7c5xNnqJ","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","7c5xNnqJ",2304,234820,15105,0.0643258666212418,"Endothelial cells"
"7FKKHnwO","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","7FKKHnwO",142,27845,27286,0.979924582510325,"Unknown"
"83mhPBIE","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","83mhPBIE",1414,75957,5763,0.0758718748765749,"Endothelial cells"
"8wwMCEJv","SRA653146","SRS2874273","Mus musculus","SMART-seq2","Heart","8wwMCEJv",117,153087,152441,0.995780177284812,"Unknown"
