"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"50fKzhDd","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","50fKzhDd",8028,423857,23252,0.0548581243202306,"Hepatocytes"
"8plR9lf3","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","8plR9lf3",7855,384846,21720,0.0564381596794562,"Hepatocytes"
"alBTR1H5","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","alBTR1H5",8111,447767,26019,0.05810834652844,"Hepatocytes"
"aoNDVT1r","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","aoNDVT1r",7904,415710,19902,0.0478747203579418,"Hepatocytes"
"cG3QbGzI","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","cG3QbGzI",7747,489603,36197,0.0739313280351632,"Hepatocytes"
"clghKsZv","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","clghKsZv",7985,467744,25750,0.0550514811520832,"Hepatocytes"
"Cru4Ht4t","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","Cru4Ht4t",1581,20206,1004,0.0496882114223498,"Endothelial cells"
"EBKuCNgR","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","EBKuCNgR",1445,165939,2637,0.0158913817728201,"Hepatocytes"
"ha9wAzKp","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","ha9wAzKp",8090,510049,27684,0.0542771380788905,"Hepatocytes"
"JYphMorV","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","JYphMorV",6050,277564,16702,0.0601735095329365,"Hepatocytes"
"kd83J9xt","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","kd83J9xt",1535,18508,887,0.0479252215258267,"Endothelial cells"
"M4e455g4","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","M4e455g4",1499,238817,3880,0.0162467496032527,"Hepatocytes"
"n3A2vqx6","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","n3A2vqx6",1404,18551,1852,0.099832893105493,"Endothelial cells"
"oJcJ1RGR","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","oJcJ1RGR",8255,490682,28083,0.0572325864816724,"Hepatocytes"
"Q6dBmMfH","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","Q6dBmMfH",2688,242867,3620,0.014905277374036,"T memory cells"
"riSX2WXC","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","riSX2WXC",471,155194,90046,0.580215729989562,"Hepatocytes"
"S2Y5yWn9","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","S2Y5yWn9",5993,259854,15828,0.060911127017479,"Hepatocytes"
"whZhLTWK","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","whZhLTWK",1736,51018,2843,0.0557254302403073,"Endothelial cells"
"XJYc9ysd","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","XJYc9ysd",7044,189909,9934,0.0523092639106098,"Hepatocytes"
"YGftIRuW","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","YGftIRuW",7582,445102,32903,0.0739223818360735,"Hepatocytes"
"ZezltZBM","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","ZezltZBM",7788,373496,18095,0.0484476406708506,"Hepatocytes"
"Zw4eTtpa","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","Zw4eTtpa",1319,20115,2043,0.101565995525727,"Endothelial cells"
"zWNHHAMr","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","zWNHHAMr",6846,173469,9321,0.0537329436383446,"Hepatocytes"
"0TjmMrun","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","0TjmMrun",5685,744742,20198,0.02712080156618,"T memory cells"
"3qAftvq8","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","3qAftvq8",6340,2669704,110810,0.0415064741259705,"Hepatocytes"
"dB8da0Yh","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","dB8da0Yh",2166,148480,19731,0.132886584051724,"Endothelial cells"
"HKYEg9ak","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","HKYEg9ak",1137,1224732,5216,0.00425889092470843,"Hepatocytes"
"ikVt3cSr","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","ikVt3cSr",8631,2011102,88334,0.0439231824144176,"Hepatocytes"
"K89oYw41","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","K89oYw41",4542,1906315,56242,0.0295029939962703,"Hepatocytes"
"nLmr2MWF","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","nLmr2MWF",4560,2024066,57576,0.0284457127386162,"Hepatocytes"
"Pla57HZt","SRA653146","SRS2874275","Mus musculus","SMART-seq2","Liver","Pla57HZt",8553,1858369,84374,0.0454021779312935,"Hepatocytes"
