"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"1GE0ESpm","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1GE0ESpm",1963,306485,2334,0.00761538085061259,"Endothelial cells"
"1kEQYOGA","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1kEQYOGA",2578,289868,2658,0.00916969103177998,"Endothelial cells"
"1o7PqTsk","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1o7PqTsk",2162,418612,5571,0.0133082663659905,"Endothelial cells"
"1qARk7fW","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1qARk7fW",1877,322290,3627,0.0112538397095783,"Endothelial cells"
"1zwQDW5P","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","1zwQDW5P",2425,451840,4728,0.01046388101983,"Macrophages"
"2iufzT1g","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","2iufzT1g",3732,699321,8069,0.0115383350421337,"Macrophages"
"2OuUEGDh","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","2OuUEGDh",4241,607552,5163,0.00849803802802065,"Fibroblasts"
"3dhgLG44","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","3dhgLG44",3097,305592,4295,0.0140546872954789,"Fibroblasts"
"4X0gFK2C","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","4X0gFK2C",3643,459682,4066,0.0088452451912409,"Fibroblasts"
"5hj42XS1","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","5hj42XS1",1279,196694,4638,0.0235797736585763,"Endothelial cells"
"5P9PkzAW","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","5P9PkzAW",4474,629962,12534,0.0198964381978596,"Ependymal cells"
"6GMfWUDM","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","6GMfWUDM",2550,293734,3018,0.0102746021910981,"Fibroblasts"
"6Yi0Ifkv","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","6Yi0Ifkv",3162,465520,20021,0.0430078192129232,"Pulmonary alveolar type II cells"
"7tzolstd","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","7tzolstd",3369,166692,3541,0.021242771098793,"Alveolar macrophages"
"8pM2o11m","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","8pM2o11m",4162,249110,2711,0.0108827425635262,"Fibroblasts"
"91jmxtro","SRA653146","SRS2874276","Mus musculus","SMART-seq2","Lung","91jmxtro",3436,497691,2766,0.00555766529834777,"Endothelial cells"
