"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"0NhiRL9d","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","0NhiRL9d",4580,504224,8219,0.0163002951069366,"Fibroblasts"
"1FObQKte","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","1FObQKte",4891,582121,4860,0.00834877972105456,"Fibroblasts"
"1mSSVFHG","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","1mSSVFHG",5909,514194,14681,0.0285514805695905,"Myoepithelial cells"
"1vrR2kKQ","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","1vrR2kKQ",3841,84728,1847,0.0217991691058446,"Myoepithelial cells"
"2t1bzMbQ","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","2t1bzMbQ",4972,133815,2576,0.0192504577214811,"Myoepithelial cells"
"2tY7ZnRl","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","2tY7ZnRl",3271,273904,5684,0.0207517962497809,"Myoepithelial cells"
"3hJMEW51","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","3hJMEW51",4386,149505,3264,0.0218320457509782,"Myoepithelial cells"
"3vAGPMgD","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","3vAGPMgD",3704,112422,1977,0.0175855259646688,"Fibroblasts"
"3WQLrlRq","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","3WQLrlRq",4873,460301,14182,0.0308102741466997,"Myoepithelial cells"
"5bwkbJqr","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","5bwkbJqr",4548,195525,4350,0.0222477943996931,"Myoepithelial cells"
"5jXjl0ij","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","5jXjl0ij",4202,413235,7008,0.0169588732803369,"Mammary epithelial cells"
"66HQMmH9","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","66HQMmH9",4632,305047,5732,0.0187905470304576,"Myoepithelial cells"
"6ob7y3Ue","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","6ob7y3Ue",4990,653961,5303,0.00810904625811019,"Fibroblasts"
"76uy9wao","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","76uy9wao",4520,968000,24160,0.0249586776859504,"Myoepithelial cells"
"7aEOmq1b","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","7aEOmq1b",4845,424427,9472,0.0223171475895737,"Myoepithelial cells"
"8B91Fe2p","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","8B91Fe2p",4022,166330,20416,0.122743942764384,"Luminal epithelial cells"
"8qjxyzwP","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","8qjxyzwP",4124,255243,4930,0.0193149273437469,"Myoepithelial cells"
"9NOcYkMF","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","9NOcYkMF",4874,424666,8853,0.0208469715023101,"Mammary epithelial cells"
"a1jqoEaK","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","a1jqoEaK",4129,320017,7917,0.0247393107241178,"Myoepithelial cells"
"Ag57IH3z","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","Ag57IH3z",5261,1062904,20599,0.0193799251860939,"Myoepithelial cells"
"AlmXKnbh","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","AlmXKnbh",4415,367304,11273,0.0306911985712108,"Myoepithelial cells"
"aqqX364l","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","aqqX364l",4622,388565,9357,0.0240809131033418,"Myoepithelial cells"
"AXKoFG9s","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","AXKoFG9s",4538,384663,12501,0.0324985766762075,"Myoepithelial cells"
"AZ0K8Eu3","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","AZ0K8Eu3",4725,394411,11993,0.0304073669344922,"Myoepithelial cells"
"b4w4zIxW","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","b4w4zIxW",4610,475347,8643,0.0181825066740718,"Mammary epithelial cells"
"bcIzTKws","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","bcIzTKws",4446,564417,11552,0.0204671368863801,"Myoepithelial cells"
"Bcls300i","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","Bcls300i",4241,272819,9560,0.0350415476927927,"Myoepithelial cells"
"BtzuZmRK","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","BtzuZmRK",4304,183343,18907,0.103123653480089,"Luminal epithelial cells"
"BVnRjVTk","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","BVnRjVTk",5038,558218,16316,0.0292287242618475,"Myoepithelial cells"
"bX4Nb75q","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","bX4Nb75q",4063,183116,21917,0.119689158784596,"Luminal epithelial cells"
"CkjZl99S","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","CkjZl99S",4429,160259,3420,0.021340455138245,"Myoepithelial cells"
"cVQCe5Y1","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","cVQCe5Y1",4679,464729,11189,0.0240763972121387,"Myoepithelial cells"
"cYzWrKGN","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","cYzWrKGN",4140,299783,7279,0.024280896515146,"Myoepithelial cells"
"DayZQ33V","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","DayZQ33V",4625,315326,8325,0.0264012482319885,"Myoepithelial cells"
"DbiQcIzw","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","DbiQcIzw",3622,345261,9804,0.0283959091817495,"Myoepithelial cells"
"DtjUPyWL","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","DtjUPyWL",4244,172019,18220,0.105918532255158,"Luminal epithelial cells"
"dxClUm92","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","dxClUm92",3793,112782,3427,0.0303860545122449,"Myoepithelial cells"
"DyqUEvZg","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","DyqUEvZg",3031,205992,3213,0.0155976931142957,"Fibroblasts"
"f0izRPfN","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","f0izRPfN",4663,325491,5956,0.0182985090217548,"Myoepithelial cells"
"f0ZgtQ4x","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","f0ZgtQ4x",4529,176147,4048,0.022980805804243,"Myoepithelial cells"
"feRNDTrw","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","feRNDTrw",4902,496976,15312,0.0308103409420173,"Myoepithelial cells"
"FhAoh7MK","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","FhAoh7MK",3071,229157,3359,0.0146580728496184,"Fibroblasts"
"fRI16vS5","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","fRI16vS5",5005,145693,2762,0.0189576712676656,"Myoepithelial cells"
"fXUtQWn5","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","fXUtQWn5",4034,392386,12663,0.0322717935910048,"Mammary epithelial cells"
"g2amX0TA","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","g2amX0TA",4521,290320,9541,0.0328637365665473,"Myoepithelial cells"
"gJaK8UEm","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","gJaK8UEm",4206,257263,9013,0.0350341868049428,"Myoepithelial cells"
"GQEhtWBe","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","GQEhtWBe",2650,69879,2414,0.0345454285264529,"Mammary epithelial cells"
"h4fcYI3y","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","h4fcYI3y",4874,469528,9382,0.0199817689253889,"Mammary epithelial cells"
"HJvEi1yP","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","HJvEi1yP",4041,310540,12473,0.0401655181297095,"Myoepithelial cells"
"HMuigeQE","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","HMuigeQE",4620,452285,8287,0.0183225178814243,"Mammary epithelial cells"
"hULs7wTN","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","hULs7wTN",4019,329603,13072,0.0396598331932658,"Myoepithelial cells"
"hXcc8jPV","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","hXcc8jPV",4603,541913,8716,0.0160837625227666,"Fibroblasts"
"iGBWlOOS","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","iGBWlOOS",4524,363655,11794,0.0324318378683092,"Myoepithelial cells"
"J3vc7T2h","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","J3vc7T2h",3090,177307,31282,0.176428454601341,"Luminal epithelial cells"
"JClONTo4","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","JClONTo4",3864,475796,7224,0.0151829775786261,"Mammary epithelial cells"
"JlzfVhhL","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","JlzfVhhL",6286,666757,19412,0.0291140550455413,"Luminal epithelial cells"
"KH2JZgQ2","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","KH2JZgQ2",4230,325411,10070,0.0309454812529386,"Myoepithelial cells"
"KQVhGteD","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","KQVhGteD",4303,363175,8999,0.0247786879603497,"Myoepithelial cells"
"KwsLZb1H","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","KwsLZb1H",4483,900105,22951,0.0254981363285394,"Myoepithelial cells"
"LeTxEFCq","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","LeTxEFCq",5364,754394,14145,0.0187501491263186,"Myoepithelial cells"
"LgaGDvP9","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","LgaGDvP9",3828,78038,1576,0.0201952894743586,"Myoepithelial cells"
"LLymwISI","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","LLymwISI",4873,401339,8997,0.0224174575608152,"Myoepithelial cells"
"LPo0ubGr","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","LPo0ubGr",3916,376866,6064,0.0160905998418536,"Myoepithelial cells"
"M0psZ7K3","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","M0psZ7K3",4103,297804,9148,0.0307181904877033,"Myoepithelial cells"
"MHehDdOX","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","MHehDdOX",4778,463109,11322,0.0244478081833866,"Myoepithelial cells"
"mljnR0k5","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","mljnR0k5",4447,601254,12262,0.0203940431165531,"Myoepithelial cells"
"mPyvNuAo","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","mPyvNuAo",4302,432963,10762,0.0248566274716315,"Myoepithelial cells"
"NR0KtMRG","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","NR0KtMRG",5724,136483,8125,0.0595312236688818,"Luminal epithelial cells"
"oAoSOV90","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","oAoSOV90",3847,120038,3655,0.0304486912477715,"Myoepithelial cells"
"OgHUje5t","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","OgHUje5t",4999,522595,15445,0.0295544350787895,"Myoepithelial cells"
"OMhOKmJp","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","OMhOKmJp",4247,491273,24196,0.0492516380912446,"Myoepithelial cells"
"ORHxGkrR","SRA653146","SRS2874277","Mus musculus","SMART-seq2","Mammary gland","ORHxGkrR",2704,199108,3877,0.0194718444261406,"Schwann cells"
