"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"08WPRZHi","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","08WPRZHi",1515,273031,1424,0.00521552497701726,"Neutrophils"
"0JJ3XAM0","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","0JJ3XAM0",2325,109013,2949,0.0270518195077651,"B cells"
"0vx1spFq","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","0vx1spFq",3588,264257,8070,0.0305384530967959,"B cells"
"1zD8FNMi","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","1zD8FNMi",4299,738913,17967,0.0243154471500704,"Macrophages"
"20bKmcid","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","20bKmcid",2020,276066,11111,0.0402476219454768,"B cells"
"28LpNPzJ","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","28LpNPzJ",2293,201958,10913,0.0540359876806069,"B cells"
"2Q2OvfQU","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","2Q2OvfQU",2936,342571,12818,0.0374170609888169,"B cells"
"32oKjvJG","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","32oKjvJG",2631,307346,10113,0.0329042837713847,"B cells"
"4CnFbsPe","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","4CnFbsPe",2220,214883,9983,0.0464578398477311,"B cells"
"4E8Q7QcX","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","4E8Q7QcX",2054,181827,11363,0.0624934690667503,"B cells"
"4iP9B2LU","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","4iP9B2LU",1692,285416,3712,0.0130055778232475,"Neutrophils"
"5Uooa2Ei","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","5Uooa2Ei",3707,322055,4997,0.0155159832947788,"Plasmacytoid dendritic cells"
"6KGmZheO","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","6KGmZheO",2206,414859,4055,0.00977440527986617,"Neutrophils"
"6MrmFaLV","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","6MrmFaLV",1743,166648,2229,0.0133754980557822,"Neutrophils"
"6nO1FdUC","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","6nO1FdUC",2295,277393,9859,0.035541632269019,"B cells"
"6PNm27Qb","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","6PNm27Qb",2491,305867,15531,0.0507769716903098,"B cells"
"6XgMk1f4","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","6XgMk1f4",5385,993083,30797,0.0310115065910906,"B cells"
"7c5aRXOB","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","7c5aRXOB",2447,220798,6841,0.030983070498827,"B cells"
"7HCFgUef","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","7HCFgUef",4973,1078272,19305,0.0179036458333333,"Neutrophils"
"7ksqsH8b","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","7ksqsH8b",2139,157242,4268,0.0271428753132115,"B cells"
"89vUzF14","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","89vUzF14",2451,311071,16014,0.0514802086983357,"B cells"
"8FZYWEJW","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","8FZYWEJW",2228,297166,9112,0.0306629964397004,"B cells"
"8Z23VqDm","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","8Z23VqDm",2587,332500,10573,0.0317984962406015,"B cells"
"9Ev00E1c","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","9Ev00E1c",2995,271128,12077,0.0445435366321442,"B cells"
"9RhKD4XX","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","9RhKD4XX",1295,293397,1223,0.00416841344662693,"Neutrophils"
"9SafM0zG","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","9SafM0zG",7539,1121680,30044,0.0267848227658512,"B cells"
"9sXOly1r","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","9sXOly1r",2340,392561,14306,0.0364427439302427,"B cells"
"afLS1GJa","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","afLS1GJa",2363,211008,4540,0.0215157719138611,"B cells"
"Aj0TOJnY","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","Aj0TOJnY",5768,1499041,32306,0.0215511116773991,"Neutrophils"
"anUFlXY7","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","anUFlXY7",1699,42507,2275,0.0535205966076176,"B cells"
"AOM3d4Su","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","AOM3d4Su",2706,87977,4068,0.0462393580140264,"T memory cells"
"ap867kIc","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","ap867kIc",5554,574057,12932,0.0225273796852926,"B cells"
"ATTvGLqH","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","ATTvGLqH",2743,236502,7511,0.0317587166281892,"B cells"
"Ax873FUx","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","Ax873FUx",2886,261666,9553,0.0365083732697408,"B cells"
"aYrXdfn8","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","aYrXdfn8",1967,116424,5812,0.0499209784924071,"B cells"
"BHsRs8Sw","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","BHsRs8Sw",2928,169843,3767,0.0221793067715478,"Plasmacytoid dendritic cells"
"bM3P4vMX","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","bM3P4vMX",2756,349993,8257,0.0235919004094368,"B cells"
"BunBHW6O","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","BunBHW6O",1387,20724,943,0.0455027986875121,"B cells"
"cPJgxfgw","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","cPJgxfgw",1834,185281,8127,0.0438631052293543,"B cells"
"Cqxkb95j","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","Cqxkb95j",5685,825488,22850,0.0276805962049115,"B cells"
"cyk6rO2o","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","cyk6rO2o",2195,215611,10085,0.0467740514166717,"B cells"
"D1ZxhMQ9","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","D1ZxhMQ9",2055,193095,10265,0.0531603614801005,"B cells"
"DClYf8Un","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","DClYf8Un",2331,185573,7235,0.038987352686005,"B cells"
"dJRTXsoO","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","dJRTXsoO",3228,301006,3198,0.0106243729360877,"Plasmacytoid dendritic cells"
"dkkuzULu","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","dkkuzULu",4483,950404,19474,0.0204902336269628,"Macrophages"
"dl5Lzaed","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","dl5Lzaed",2109,202706,7720,0.0380847138219885,"B cells"
"dljPRBV0","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","dljPRBV0",2550,465040,4354,0.00936263547221744,"Neutrophils"
"DUJJIlTW","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","DUJJIlTW",4713,696463,28061,0.0402907261405129,"B cells"
"DzAojyDd","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","DzAojyDd",2195,269847,11160,0.0413567688356735,"B cells"
"EF4WZ7iu","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","EF4WZ7iu",2256,410269,16978,0.0413826050713069,"B cells"
"EOJcQO31","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","EOJcQO31",6824,1148619,35932,0.0312827839344465,"B cells"
"er4AysOI","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","er4AysOI",1771,75190,2951,0.0392472403245112,"B cells"
"EVIV8DYu","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","EVIV8DYu",2181,291393,13871,0.0476023789178189,"B cells"
"eyvSPcuB","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","eyvSPcuB",2517,305021,11701,0.0383612931568646,"B cells"
"EzEHgXiN","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","EzEHgXiN",5125,677574,22256,0.0328465968292762,"B cells"
"F27Xl1QV","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","F27Xl1QV",2869,432158,19298,0.0446549641566279,"B cells"
"f2bEYeAO","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","f2bEYeAO",4234,789832,20661,0.0261587274255791,"B cells"
"f8btv8pc","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","f8btv8pc",7563,1367150,40552,0.0296617050067659,"B cells"
"Fcn9ZgVW","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","Fcn9ZgVW",5926,646308,18784,0.0290635424596323,"B cells"
"fft9DGlu","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","fft9DGlu",3238,179953,4097,0.0227670558423588,"Plasmacytoid dendritic cells"
"FkyloaOc","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","FkyloaOc",2257,249619,11660,0.0467111878502838,"B cells"
"FNkWzgEZ","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","FNkWzgEZ",3751,946057,25117,0.026549140273789,"B cells"
"FwVaAFkp","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","FwVaAFkp",4173,724894,42941,0.0592376264667662,"T memory cells"
"G4eJ1Q1Q","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","G4eJ1Q1Q",2093,223009,4613,0.0206852638234331,"B cells"
"G92420z5","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","G92420z5",5142,729714,20897,0.0286372469213966,"B cells"
"GA8BapP7","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","GA8BapP7",4765,1488797,16749,0.0112500226693095,"Neutrophils"
"gdxJ1Woa","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","gdxJ1Woa",2285,233127,11457,0.0491448866926611,"B cells"
"GHx12CIQ","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","GHx12CIQ",1902,166161,6539,0.0393533982101697,"B cells"
"GQxqj9B2","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","GQxqj9B2",3053,370314,16042,0.0433199933029807,"B cells"
"GW9QE551","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","GW9QE551",2396,299084,15468,0.0517179120247155,"B cells"
"HGRcG11d","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","HGRcG11d",1960,187719,6796,0.0362030481730672,"B cells"
"Hhsc7TI8","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","Hhsc7TI8",6470,866914,23278,0.0268515677448974,"B cells"
"hPBvN0x7","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","hPBvN0x7",2261,248875,12357,0.0496514314414867,"B cells"
"HT292nUf","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","HT292nUf",8030,1334208,44078,0.0330368278409363,"B cells"
"i12HVNZH","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","i12HVNZH",6308,1034887,33163,0.0320450445314319,"B cells"
"ialeOvvo","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","ialeOvvo",5777,830221,16432,0.0197923203580733,"T memory cells"
"Iculrgaj","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","Iculrgaj",2581,357284,10991,0.030762642603643,"B cells"
"ISpwZdhA","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","ISpwZdhA",2865,546434,2826,0.00517171332676956,"Neutrophils"
"itwLm422","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","itwLm422",5270,933039,30380,0.0325602681131228,"B cells"
"iVKji2nM","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","iVKji2nM",3924,648052,20790,0.0320807589514422,"B cells"
"IY3zG0Bw","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","IY3zG0Bw",2207,272274,10902,0.0400405473897618,"B cells"
"jVVFvhhT","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","jVVFvhhT",4259,285781,13337,0.0466686028812272,"B cells"
"jYhEBqtX","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","jYhEBqtX",5992,684989,24556,0.0358487508558532,"B cells"
"kapcUadm","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","kapcUadm",2393,310021,13474,0.0434615719580286,"B cells"
"KctmteWF","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","KctmteWF",6492,1236204,31894,0.0257999488757519,"B cells"
"kdGROnWr","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","kdGROnWr",2980,51552,2734,0.0530338299193048,"B cells"
"KN4GoisT","SRA653146","SRS2874278","Mus musculus","SMART-seq2","Bone marrow","KN4GoisT",5346,908457,31588,0.0347710458502714,"B cells"
