"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"251X8Lxf","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","251X8Lxf",1463,108832,4153,0.0381597324316378,"Myoblasts"
"4391JuJD","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","4391JuJD",245,18528,8869,0.47868091537133,"Unknown"
"4bQ0Y2ZH","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","4bQ0Y2ZH",3651,628685,10802,0.0171818955438733,"Fibroblasts"
"4Tci90cL","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","4Tci90cL",3424,506614,7707,0.0152127655374703,"Fibroblasts"
"5PAw6S46","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","5PAw6S46",3028,552769,10301,0.0186352707912347,"Fibroblasts"
"6fq7kEVe","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","6fq7kEVe",3017,554229,10190,0.0183859018564528,"Fibroblasts"
"6OkdDGlT","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","6OkdDGlT",3059,593361,11132,0.0187609229457278,"Fibroblasts"
"848Z995L","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","848Z995L",3172,371922,6732,0.0181005694742446,"Fibroblasts"
"8ZotINht","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","8ZotINht",2038,86070,2878,0.0334378993842221,"Myoblasts"
"9J4t0AGp","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","9J4t0AGp",3115,449221,8673,0.0193067554722509,"Fibroblasts"
"B6TBjXiW","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","B6TBjXiW",2320,301756,6590,0.0218388366759899,"Fibroblasts"
"B90QgEBs","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","B90QgEBs",2952,374205,6564,0.0175411873171123,"Fibroblasts"
"Bl3kIwUP","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","Bl3kIwUP",2515,557540,9349,0.0167683036194713,"Fibroblasts"
"BYDNifa1","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","BYDNifa1",2948,396474,13328,0.0336163279307092,"Fibroblasts"
"d9DrUIpG","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","d9DrUIpG",3087,445185,8066,0.0181183103653537,"Fibroblasts"
"dHou9rsa","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","dHou9rsa",2801,491898,7121,0.0144765784776519,"Fibroblasts"
"eIhEvsfV","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","eIhEvsfV",2317,289077,6259,0.0216516706621419,"Fibroblasts"
"eNvnGvss","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","eNvnGvss",2622,205810,5016,0.0243719935863175,"Fibroblasts"
"GU9yMp2o","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","GU9yMp2o",2593,421515,7732,0.0183433567014223,"Fibroblasts"
"h4cqE7t9","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","h4cqE7t9",264,17205,8045,0.467596628886951,"Unknown"
"HhegSs36","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","HhegSs36",3385,535186,8324,0.0155534711296633,"Fibroblasts"
"hvj5CVQh","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","hvj5CVQh",2617,417783,10834,0.0259321226569774,"Fibroblasts"
"IJOnjMY9","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","IJOnjMY9",1684,69718,3681,0.0527984164778106,"Myoblasts"
"IsNq8KPh","SRA653146","SRS2874279","Mus musculus","SMART-seq2","Muscle","IsNq8KPh",1763,82405,2999,0.0363934227292033,"Myoblasts"
