"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"0SrPn1mk","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","0SrPn1mk",5022,1028720,14378,0.0139765922700054,"Delta cells"
"161cvZav","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","161cvZav",4448,860273,7997,0.00929588630585872,"Delta cells"
"1EUMp8vQ","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","1EUMp8vQ",4781,590202,8653,0.0146610821379799,"Delta cells"
"4ACQZrDZ","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","4ACQZrDZ",4812,539517,7648,0.0141756422874534,"Delta cells"
"9bbxbdu2","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","9bbxbdu2",4731,955909,10728,0.0112228256036924,"Delta cells"
"9qAlQwuN","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","9qAlQwuN",5092,690959,9924,0.0143626466982846,"Alpha cells"
"aB2F1fHG","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","aB2F1fHG",3849,869464,8744,0.0100567706080988,"Delta cells"
"AY9JjGSC","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","AY9JjGSC",4175,502891,3086,0.0061365186491705,"Alpha cells"
"bauEOFYb","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","bauEOFYb",4248,728247,7523,0.0103302862902285,"Delta cells"
"BIKm9Cl1","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","BIKm9Cl1",5648,650060,19762,0.030400270744239,"Beta cells"
"c1P98r6o","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","c1P98r6o",905,151607,14187,0.0935774733356639,"Acinar cells"
"C78WnBgL","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","C78WnBgL",4693,896468,9635,0.0107477344422779,"Delta cells"
"CUbadx0o","SRA653146","SRS2874280","Mus musculus","SMART-seq2","Pancreas","CUbadx0o",5350,960486,14838,0.0154484292327009,"Beta cells"
