"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"01tfBP0J","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","01tfBP0J",3330,312542,8287,0.026514836405987,"Keratinocytes"
"07bv0WGZ","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","07bv0WGZ",2700,250311,7634,0.0304980604128464,"Keratinocytes"
"0EBE0uhW","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","0EBE0uhW",2911,321672,13399,0.0416542316396827,"Keratinocytes"
"0kW5ES6V","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","0kW5ES6V",3680,533875,17113,0.0320543198314212,"Keratinocytes"
"0p0FBqhf","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","0p0FBqhf",4133,335691,9757,0.029065420282343,"Keratinocytes"
"153VAQox","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","153VAQox",5679,606384,16945,0.0279443389007626,"Keratinocytes"
"15JVwbEP","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","15JVwbEP",2752,375483,18224,0.0485348204845492,"Keratinocytes"
"249Pj9Si","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","249Pj9Si",3339,314580,9803,0.0311621844999682,"Keratinocytes"
"2itcOAUA","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","2itcOAUA",4649,558204,21280,0.0381222635452272,"Keratinocytes"
"2jvMPpBZ","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","2jvMPpBZ",5694,561788,15788,0.0281031278702998,"Keratinocytes"
"2kBjO7MK","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","2kBjO7MK",3808,323891,7254,0.0223964234881488,"Keratinocytes"
"2nFbS985","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","2nFbS985",5113,692422,15505,0.0223924138747758,"Keratinocytes"
"2uLdvAby","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","2uLdvAby",4129,465957,12843,0.0275626291696444,"Keratinocytes"
"3DKkiSYO","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","3DKkiSYO",3883,330328,6445,0.0195109103678768,"Keratinocytes"
"3edIyBIx","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","3edIyBIx",4170,432925,9497,0.0219368250851764,"Keratinocytes"
"3kFyBkca","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","3kFyBkca",6091,746535,20377,0.0272954382580857,"Keratinocytes"
"3SME06nS","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","3SME06nS",4430,547719,12280,0.0224202556420354,"Keratinocytes"
"498anoBD","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","498anoBD",4238,226137,3469,0.0153402583389715,"Keratinocytes"
"4gMBYu25","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","4gMBYu25",2838,236043,12676,0.0537020797058163,"Keratinocytes"
"4I9f5kNU","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","4I9f5kNU",3198,487807,10291,0.0210964582304067,"Keratinocytes"
"4KuNiuYK","SRA653146","SRS2874281","Mus musculus","SMART-seq2","Skin","4KuNiuYK",2715,197112,6233,0.0316216161370185,"Keratinocytes"
