"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"0gMui6iY","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","0gMui6iY",1333,206366,10212,0.0494848957677137,"B cells"
"0pprifKx","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","0pprifKx",2122,148152,8807,0.0594457044116853,"T memory cells"
"0uzKNGgE","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","0uzKNGgE",2265,271746,16939,0.0623339441978907,"B cells"
"1abjsPdR","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","1abjsPdR",1921,310604,11104,0.0357497005833795,"B cells"
"1p5rmWLs","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","1p5rmWLs",3960,416986,11043,0.0264829035027555,"B cells"
"27lLZtuj","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","27lLZtuj",1832,131329,4069,0.0309832557927038,"B cells"
"2Eha1F8z","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","2Eha1F8z",1440,199102,11749,0.0590099546965877,"B cells"
"2ienHHeB","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","2ienHHeB",1868,391506,14134,0.0361016178551542,"B cells"
"3GwKz6Gw","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","3GwKz6Gw",2434,610632,27588,0.045179420665802,"B cells"
"3HhFmTyx","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","3HhFmTyx",2225,219557,14045,0.0639697208469782,"T memory cells"
"3TmNxuM2","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","3TmNxuM2",2627,347298,15198,0.0437606896670871,"B cells"
"3U7ck7W6","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","3U7ck7W6",1962,161121,9582,0.0594708324799374,"T memory cells"
"40rM06ee","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","40rM06ee",1823,809257,28087,0.0347071449490088,"B cells"
"4aEGVEMA","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","4aEGVEMA",2589,212903,11804,0.0554430891063066,"B cells"
"4bZrL6XC","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","4bZrL6XC",2051,157996,9630,0.060950910149624,"T memory cells"
"4gy7fcmw","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","4gy7fcmw",2065,358000,17599,0.049159217877095,"B cells"
"4n1SC1fb","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","4n1SC1fb",1885,162160,7350,0.0453256043413912,"B cells"
"5EFr3ipI","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","5EFr3ipI",1709,230569,14670,0.0636252054699461,"B cells"
"5Xrtdy3O","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","5Xrtdy3O",2253,419026,26765,0.0638743180614091,"B cells"
"6mrKEEL3","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","6mrKEEL3",2274,138095,8358,0.0605235526268149,"T memory cells"
"6UbN7daf","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","6UbN7daf",1984,162949,6622,0.0406384819790241,"B cells"
"6w50A22W","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","6w50A22W",2408,374407,18449,0.049275253934889,"T memory cells"
"7MdwP0Fo","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","7MdwP0Fo",3522,486624,22136,0.0454889195765108,"T memory cells"
"8302G62F","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","8302G62F",1803,328896,16382,0.0498090581825258,"B cells"
"8jA0op4Q","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","8jA0op4Q",2726,326439,26717,0.0818437747940657,"B cells"
"8PNXlGXl","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","8PNXlGXl",1814,355664,17097,0.0480706509514598,"B cells"
"9shFoaWc","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","9shFoaWc",2218,218059,13865,0.0635837089961891,"T memory cells"
"9WtkX3d6","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","9WtkX3d6",1444,154701,14169,0.0915895824849225,"B cells"
"9xjyBajk","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","9xjyBajk",2644,840758,40199,0.0478128070146225,"T memory cells"
"aaFY7AwL","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","aaFY7AwL",1997,244008,11795,0.0483385790629815,"B cells"
"AATTe2pA","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","AATTe2pA",1841,169491,7808,0.0460673428087627,"B cells"
"aRyIb8au","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","aRyIb8au",1882,439194,15952,0.0363210790675647,"B cells"
"Av1ipF3V","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","Av1ipF3V",3057,887666,47839,0.0538930183199537,"B cells"
"AWeNYDiF","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","AWeNYDiF",2079,211105,9218,0.0436654745268942,"T memory cells"
"AwFUmkt4","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","AwFUmkt4",2953,585614,30242,0.0516415249635425,"T memory cells"
"B0qwtPDU","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","B0qwtPDU",2018,152696,5978,0.0391496830303348,"B cells"
"BaXgEq2U","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","BaXgEq2U",1904,189679,9794,0.0516346037252411,"B cells"
"bO3wJjDp","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","bO3wJjDp",1541,179727,11412,0.0634963027258008,"B cells"
"BOMo19P4","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","BOMo19P4",3216,397853,36229,0.0910612713741005,"B cells"
"BqmdEAkm","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","BqmdEAkm",1347,152591,7085,0.0464313098413406,"B cells"
"bSEMBuvU","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","bSEMBuvU",2195,365082,19234,0.0526840545411716,"T memory cells"
"bxZNOx8N","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","bxZNOx8N",1840,162189,13904,0.0857271454907546,"B cells"
"byti8zTF","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","byti8zTF",1419,100781,18963,0.188160466754646,"T memory cells"
"CIA8dBo6","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","CIA8dBo6",2134,297312,15483,0.0520766063932838,"B cells"
"CjR7JU68","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","CjR7JU68",2733,172335,14793,0.0858386282531117,"B cells"
"cogwJlny","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","cogwJlny",2329,246974,18447,0.0746920728497737,"T memory cells"
"CRxbR4rV","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","CRxbR4rV",1946,329841,11773,0.035692955090483,"B cells"
"Ctrikpof","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","Ctrikpof",1994,86132,5060,0.0587470394278549,"B cells"
"CxLUo2aA","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","CxLUo2aA",1782,153617,6871,0.0447281225385211,"B cells"
"Df6v4SLt","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","Df6v4SLt",1505,480423,18679,0.0388803200512881,"B cells"
"dg2nuW1O","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","dg2nuW1O",2385,369089,8333,0.0225772103747335,"NK cells"
"dGuUY8oC","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","dGuUY8oC",2055,269895,14711,0.0545063821115619,"T memory cells"
"DJNxDD5l","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","DJNxDD5l",1980,312504,13497,0.0431898471699562,"B cells"
"dKfUB8sT","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","dKfUB8sT",2939,379752,23804,0.0626830141776739,"B cells"
"dMeaBZ8C","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","dMeaBZ8C",5251,762541,27739,0.0363770603810156,"B cells"
"dsBncINA","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","dsBncINA",2428,392959,19229,0.0489338582396637,"T memory cells"
"DtHjrjwI","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","DtHjrjwI",2907,348494,21272,0.0610397883464278,"B cells"
"Dz9CouCT","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","Dz9CouCT",1798,220468,5178,0.0234864016546619,"T memory cells"
"e0qg4Ly3","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","e0qg4Ly3",2311,189524,10738,0.0566577320022794,"B cells"
"E10TsNkt","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","E10TsNkt",2552,407784,24445,0.0599459517783925,"B cells"
"EP8Gb2cV","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","EP8Gb2cV",2272,145783,9000,0.0617355933133493,"T memory cells"
"evup1Chq","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","evup1Chq",2355,232150,17090,0.0736161964247254,"T memory cells"
"eydT8sSa","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","eydT8sSa",2922,544785,28609,0.0525142946299916,"T memory cells"
"EyrShycv","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","EyrShycv",1441,94856,17614,0.185691996289112,"T memory cells"
"EyyghiZG","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","EyyghiZG",2562,441004,28505,0.0646366019355833,"B cells"
"F9JyOSXj","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","F9JyOSXj",2240,207089,12646,0.0610655322107886,"T memory cells"
"FaFGs6qI","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","FaFGs6qI",1812,308149,18470,0.0599385362276042,"T memory cells"
"fJS6sY1a","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","fJS6sY1a",3028,822063,46218,0.056221968389284,"B cells"
"fP9H2ThV","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","fP9H2ThV",2117,110754,7992,0.0721599219892735,"T memory cells"
"fRiLYMlb","SRA653146","SRS2874282","Mus musculus","SMART-seq2","Spleen","fRiLYMlb",2731,334548,9903,0.0296011334696366,"T memory cells"
