"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"03qAVafy","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","03qAVafy",2580,557125,24244,0.0435162665470047,"T memory cells"
"06AMkzkA","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","06AMkzkA",1921,287337,13753,0.0478636583523876,"B cells"
"0RBtPPl4","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","0RBtPPl4",1554,161841,3346,0.0206746127371927,"T memory cells"
"1awpFXam","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","1awpFXam",1712,545086,15042,0.027595645457781,"T memory cells"
"1GL61go4","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","1GL61go4",1702,363007,16388,0.0451451349423014,"T memory cells"
"1oTJV4of","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","1oTJV4of",4590,1362500,26985,0.019805504587156,"T memory cells"
"2NjNUeHV","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","2NjNUeHV",1976,298662,9563,0.0320194735185594,"T memory cells"
"2x6bsuYN","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","2x6bsuYN",1495,552273,11309,0.0204771915338972,"T memory cells"
"2X9js6Ux","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","2X9js6Ux",1901,587516,10154,0.0172829335711708,"T memory cells"
"2xuaCZyn","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","2xuaCZyn",1598,854886,21867,0.0255788491097059,"T memory cells"
"3lr9Az0L","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","3lr9Az0L",3952,39261,269,0.0068515829958483,"B cells"
"3MOkNe7Z","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","3MOkNe7Z",1673,331498,10416,0.0314210040482899,"T memory cells"
"3pduiq9B","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","3pduiq9B",1805,976554,20227,0.0207126282827166,"T memory cells"
"476KnIGd","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","476KnIGd",2524,877332,15423,0.0175794340112979,"T memory cells"
"48Nwz7fv","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","48Nwz7fv",1596,199417,4377,0.0219489812804325,"Endothelial cells"
"4BVO6mTE","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","4BVO6mTE",2584,526286,22931,0.0435713661393235,"T memory cells"
"4dshHVkg","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","4dshHVkg",1774,447371,14972,0.0334666306041295,"T memory cells"
"4Z9qv8WO","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","4Z9qv8WO",209,15754,13721,0.870953408658119,"Unknown"
"5EVYJP5V","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","5EVYJP5V",2065,678770,16721,0.0246342649203707,"T memory cells"
"5OzCrpa3","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","5OzCrpa3",2729,333362,10128,0.0303813872007007,"T memory cells"
"5SUZZjO6","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","5SUZZjO6",1657,868016,24076,0.0277368159112274,"T memory cells"
"5xVhcx7M","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","5xVhcx7M",1519,238923,5874,0.0245853266533569,"T memory cells"
"609tQm8q","SRA653146","SRS2874283","Mus musculus","SMART-seq2","Thymus","609tQm8q",1782,368421,7939,0.0215487173641025,"T memory cells"
