"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"01xkvFgZ","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","01xkvFgZ",5179,351103,4171,0.0118797048159657,"Keratinocytes"
"0BpUvvcM","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","0BpUvvcM",5204,308389,4977,0.0161387079305682,"Keratinocytes"
"0HNUSRaL","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","0HNUSRaL",5846,345597,5237,0.0151534880221761,"Keratinocytes"
"0IxXFD7Q","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","0IxXFD7Q",5212,314922,3748,0.0119013597017674,"Keratinocytes"
"0Ji9JZ7h","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","0Ji9JZ7h",6874,322969,3564,0.0110351148252619,"Keratinocytes"
"0kZ35GKg","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","0kZ35GKg",6447,494348,6518,0.0131850437343734,"Keratinocytes"
"0n061pYL","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","0n061pYL",4791,341498,8207,0.0240323515803899,"Keratinocytes"
"15AjFjZy","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","15AjFjZy",4529,555564,18901,0.0340212828765003,"Keratinocytes"
"1BJ25xMi","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","1BJ25xMi",3846,302437,6381,0.0210986089664955,"Keratinocytes"
"1bwrQhsg","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","1bwrQhsg",5023,233766,4226,0.0180779069667959,"Keratinocytes"
"1IMdy7Hh","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","1IMdy7Hh",4104,286985,7432,0.0258968238758123,"Keratinocytes"
"1pXX6zS6","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","1pXX6zS6",6179,304394,3214,0.0105586838111132,"Keratinocytes"
"1qDfLb80","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","1qDfLb80",5486,416178,5749,0.0138138008256083,"Keratinocytes"
"1uBGrGsy","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","1uBGrGsy",5610,340964,7954,0.0233279759740031,"Keratinocytes"
"2HywZbbG","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","2HywZbbG",4809,333794,5996,0.0179631748922988,"Keratinocytes"
"2sskBZAN","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","2sskBZAN",5025,294275,1806,0.00613711664259621,"Keratinocytes"
"2Tbr41Tv","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","2Tbr41Tv",4819,474910,5818,0.0122507422458992,"Keratinocytes"
"2Wj6Oc9x","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","2Wj6Oc9x",5350,242819,4354,0.0179310515239746,"Keratinocytes"
"2yKKS7me","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","2yKKS7me",4496,151827,2978,0.0196144295810363,"Keratinocytes"
"3pXIxcqW","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","3pXIxcqW",4083,267882,7126,0.0266012647359658,"Keratinocytes"
"3t8QLI6H","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","3t8QLI6H",5357,341448,5509,0.0161342283451653,"Keratinocytes"
"3YcCB0lN","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","3YcCB0lN",4594,277500,5483,0.0197585585585586,"Keratinocytes"
"4fq590YH","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","4fq590YH",4791,406582,9100,0.0223817089787546,"Keratinocytes"
"4n3BIOrZ","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","4n3BIOrZ",4918,284033,5970,0.021018684448638,"Keratinocytes"
"4qN9gkpd","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","4qN9gkpd",4567,298542,5979,0.0200273328375907,"Keratinocytes"
"4rnwpnhc","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","4rnwpnhc",4816,337934,3170,0.00938052992596187,"Keratinocytes"
"4VxbajGI","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","4VxbajGI",6111,251732,4157,0.0165135938220012,"Keratinocytes"
"4YIq9z4U","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","4YIq9z4U",4919,231443,4054,0.0175161918917401,"Keratinocytes"
"4ZlfIZLn","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","4ZlfIZLn",4338,222811,4243,0.0190430454510774,"Keratinocytes"
"5hOGp49g","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","5hOGp49g",5534,561759,5530,0.0098440790445725,"Keratinocytes"
"5Piw8V9m","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","5Piw8V9m",6199,345653,3711,0.0107362007562498,"Keratinocytes"
"5Q5dHcP9","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","5Q5dHcP9",6477,511214,3354,0.00656085318477193,"Keratinocytes"
"5Sk7cGKP","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","5Sk7cGKP",4580,266057,3177,0.0119410502260794,"Keratinocytes"
"5wkNmlSB","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","5wkNmlSB",4706,299572,5351,0.0178621500006676,"Keratinocytes"
"60aq5ovX","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","60aq5ovX",4903,218068,3736,0.0171322706678651,"Keratinocytes"
"6FTHBg5M","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","6FTHBg5M",6178,328279,3252,0.00990620782931592,"Keratinocytes"
"6rCDxVju","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","6rCDxVju",4581,173688,3504,0.0201741052922482,"Keratinocytes"
"6zR1ExVD","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","6zR1ExVD",4714,237361,3037,0.0127948567793361,"Keratinocytes"
"78vsaP3Y","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","78vsaP3Y",4499,520906,17932,0.0344246370746353,"Keratinocytes"
"7FZQDIXN","SRA653146","SRS2874284","Mus musculus","SMART-seq2","Tongue","7FZQDIXN",4671,344023,7646,0.0222252581949463,"Keratinocytes"
