"","SRA","SRS","SP","PROTOCOL","TISSUE","CELL","NGENES","TOTALCOUNT","MTCOUNT","MTRATIO","CT"
"0A0XEAFO","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","0A0XEAFO",2335,167522,2998,0.0178961569226728,"Chondrocytes"
"0DcbQxyr","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","0DcbQxyr",4930,338544,4884,0.0144264851836098,"Fibroblasts"
"0h0aZtHJ","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","0h0aZtHJ",3225,185736,6243,0.0336122238015247,"Fibroblasts"
"0OWkwQ3U","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","0OWkwQ3U",3752,411834,5737,0.013930370003448,"Fibroblasts"
"0wwAOXjn","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","0wwAOXjn",3243,322482,4155,0.0128844400617709,"Endothelial cells"
"0xlfts6b","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","0xlfts6b",2704,264836,8762,0.0330846259571961,"Follicular cells"
"1dUwmWKG","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","1dUwmWKG",1992,128286,3280,0.0255678717864771,"Follicular cells"
"1dwhhSb3","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","1dwhhSb3",3203,402918,7530,0.0186886661802153,"T cells"
"1FsMnwRO","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","1FsMnwRO",3052,522323,11268,0.0215728581739652,"Endothelial cells"
"1JA3w1fE","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","1JA3w1fE",3060,516937,11381,0.0220162224797219,"Endothelial cells"
"1pDbcnYj","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","1pDbcnYj",5897,463796,5634,0.0121475821266246,"Fibroblasts"
"214BBQL8","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","214BBQL8",3349,156526,3556,0.0227182704470823,"Fibroblasts"
"21920Qxa","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","21920Qxa",2698,92088,6325,0.0686843019720268,"Fibroblasts"
"2edmoIoK","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","2edmoIoK",625,51632,18692,0.362023551286024,"Unknown"
"2UHueb2q","SRA653146","SRS2874285","Mus musculus","SMART-seq2","Trachea","2UHueb2q",3135,94761,2908,0.0306877301843585,"Fibroblasts"
