"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Alpha cells",0.003,0.023,0.034,0.046,0.069,0.144
"Astrocytes",0.003,0.004,0.006,0.008,0.009,0.141
"B cells",0.003,0.028,0.039,0.04,0.05,0.144
"B cells naive",0.009,0.033,0.04,0.042,0.05,0.138
"Basal cells",0.002,0.028,0.04,0.045,0.057,0.146
"Beta cells",0.004,0.046,0.058,0.061,0.073,0.144
"Cholangiocytes",0.002,0.034,0.048,0.055,0.07,0.145
"Dendritic cells",0.002,0.027,0.039,0.045,0.057,0.146
"Ductal cells",0.002,0.036,0.049,0.053,0.065,0.145
"Embryonic stem cells",0.02,0.054,0.062,0.063,0.07,0.124
"Endothelial cells",0.003,0.028,0.035,0.041,0.045,0.145
"Epithelial cells",0.003,0.055,0.084,0.08,0.107,0.145
"Erythroid precursor cells",0.002,0.016,0.025,0.03,0.039,0.145
"Fibroblasts",0.002,0.025,0.039,0.047,0.063,0.145
"Gamma delta T cells",0.003,0.019,0.026,0.031,0.039,0.142
"Germ cells",0.002,0.011,0.044,0.048,0.077,0.146
"Hepatocytes",0.003,0.038,0.063,0.067,0.093,0.143
"Keratinocytes",0.002,0.052,0.069,0.071,0.09,0.145
"Langerhans cells",0.003,0.029,0.043,0.061,0.102,0.144
"Luminal epithelial cells",0.002,0.026,0.051,0.054,0.083,0.144
"Macrophages",0.003,0.034,0.07,0.07,0.105,0.136
"Monocytes",0.002,0.019,0.03,0.034,0.046,0.144
"Neutrophils",0.006,0.037,0.05,0.057,0.07,0.143
"NK cells",0.003,0.025,0.034,0.036,0.044,0.143
"Oligodendrocyte progenitor cells",0.003,0.006,0.009,0.011,0.014,0.108
"Oligodendrocytes",0.002,0.006,0.009,0.011,0.013,0.138
"Pancreatic stellate cells",0.002,0.016,0.024,0.027,0.033,0.138
"Peritubular myoid cells",0.002,0.029,0.041,0.048,0.059,0.145
"Plasma cells",0.003,0.019,0.027,0.032,0.039,0.146
"Plasmacytoid dendritic cells",0.003,0.021,0.027,0.029,0.034,0.144
"Podocytes",0.002,0.022,0.033,0.038,0.049,0.142
"Pulmonary alveolar type II cells",0.002,0.03,0.037,0.044,0.049,0.144
"Smooth muscle cells",0.003,0.045,0.066,0.068,0.088,0.141
"Spermatocytes",0.002,0.056,0.082,0.081,0.109,0.146
"T cells",0.002,0.026,0.034,0.036,0.043,0.145
"T cells naive",0.004,0.019,0.024,0.024,0.029,0.053
"T memory cells",0.003,0.021,0.033,0.036,0.047,0.145
