"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Adipose",0.011,0.089,0.104,0.101,0.115,0.145
"B cells",0.003,0.024,0.032,0.034,0.04,0.137
"Blood CD8+ T lymphocytes",0.009,0.033,0.039,0.041,0.047,0.139
"Bone marrow",0.002,0.026,0.035,0.038,0.046,0.146
"Brain",0.026,0.072,0.086,0.086,0.1,0.135
"Breast epithelium",0.002,0.019,0.027,0.031,0.037,0.144
"CD34+ cord blood cells",0.003,0.022,0.028,0.031,0.036,0.144
"Colon",0.002,0.048,0.07,0.071,0.095,0.145
"Colon (Ulcerative Colitis)",0.003,0.034,0.046,0.053,0.067,0.146
"Decidua",0.002,0.012,0.019,0.028,0.035,0.141
"Embryonic kidney",0.002,0.021,0.031,0.036,0.044,0.142
"Embryonic kidney cortex",0.003,0.017,0.021,0.024,0.028,0.134
"Embryonic stem cell line",0.002,0.02,0.03,0.037,0.045,0.146
"ES-derived kidney organoid",0.003,0.034,0.049,0.052,0.065,0.14
"Hepatocellular carcinoma",0.005,0.039,0.047,0.049,0.056,0.144
"Hepatocyte-derived liver progenitor-like cells",0.002,0.029,0.035,0.037,0.042,0.133
"Kaposi's sarcoma",0.02,0.054,0.062,0.063,0.07,0.124
"Liver",0.003,0.065,0.088,0.087,0.111,0.144
"Lung airway epithelial cells",0.002,0.007,0.014,0.018,0.026,0.144
"Lung distal alveolar stromal cells",0.003,0.026,0.033,0.038,0.044,0.144
"Lung proximal airway stromal cells",0.002,0.032,0.041,0.048,0.056,0.145
"Lymph node",0.003,0.014,0.019,0.024,0.027,0.144
"Lymphoblastoid cell line",0.003,0.028,0.04,0.04,0.049,0.146
"Mammary gland",0.003,0.055,0.07,0.073,0.088,0.145
"Melanoma",0.002,0.042,0.057,0.06,0.08,0.138
"Monocyte-derived macrophages",0.007,0.085,0.104,0.1,0.119,0.144
"Nasal airway epithelium",0.002,0.066,0.085,0.081,0.099,0.129
"NK cells",0.003,0.015,0.019,0.021,0.024,0.139
"NK cells from blood",0.003,0.024,0.03,0.032,0.037,0.119
"NK cells from spleen",0.003,0.027,0.034,0.035,0.042,0.111
"Ovarian tumor",0.006,0.032,0.039,0.041,0.048,0.118
"Pancreatic islets",0.002,0.024,0.037,0.042,0.056,0.144
"Pancreatic progenitor cells",0.01,0.065,0.079,0.079,0.092,0.135
"PBMC",0.003,0.022,0.029,0.034,0.04,0.146
"Placenta",0.002,0.014,0.021,0.028,0.034,0.145
"Prostate",0.003,0.033,0.043,0.048,0.058,0.145
"Substantia nigra",0.002,0.006,0.009,0.012,0.014,0.141
"T cells",0.002,0.028,0.037,0.038,0.046,0.145
"Testicle",0.002,0.011,0.041,0.049,0.081,0.146
"Testis",0.002,0.023,0.043,0.049,0.072,0.146
"Tonsil",0.002,0.02,0.027,0.029,0.034,0.144
"Tonsil CD14+ cells",0.002,0.023,0.031,0.033,0.041,0.138
"Tonsil CD4 T cells",0.003,0.021,0.029,0.034,0.038,0.145
"Umbilical vein endothelial cells",0.006,0.03,0.034,0.038,0.04,0.145
