"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Acinar cells",0.002,0.009,0.014,0.022,0.021,0.145
"Alpha cells",0.002,0.009,0.012,0.015,0.016,0.141
"Alveolar macrophages",0.002,0.011,0.016,0.018,0.021,0.145
"Anterior pituitary gland cells",0.002,0.006,0.009,0.013,0.013,0.144
"Astrocytes",0.002,0.017,0.026,0.029,0.038,0.146
"B cells",0.002,0.009,0.012,0.013,0.016,0.143
"Beta cells",0.002,0.005,0.007,0.01,0.01,0.143
"Cajal-Retzius cells",0.002,0.013,0.018,0.025,0.029,0.145
"Cardiomyocytes",0.002,0.009,0.034,0.052,0.096,0.146
"Chondrocytes",0.004,0.022,0.028,0.031,0.035,0.133
"Choroid plexus cells",0.003,0.043,0.06,0.061,0.078,0.138
"Clara cells",0.002,0.014,0.024,0.033,0.037,0.145
"Delta cells",0.002,0.006,0.008,0.011,0.012,0.142
"Dendritic cells",0.002,0.005,0.007,0.008,0.009,0.135
"Distal tubule cells",0.003,0.053,0.085,0.083,0.114,0.146
"Embryonic stem cells",0.002,0.013,0.018,0.018,0.022,0.108
"Endothelial cells",0.002,0.012,0.016,0.02,0.022,0.144
"Endothelial cells (aorta)",0.003,0.007,0.009,0.011,0.012,0.13
"Enteric neurons",0.002,0.01,0.036,0.036,0.048,0.141
"Enterocytes",0.002,0.009,0.018,0.032,0.048,0.146
"Enteroendocrine cells",0.002,0.009,0.017,0.037,0.058,0.146
"Ependymal cells",0.003,0.014,0.022,0.026,0.032,0.142
"Erythroid precursor cells",0.002,0.008,0.01,0.011,0.011,0.144
"Fibroblasts",0.002,0.008,0.011,0.015,0.016,0.143
"GABAergic neurons",0.002,0.007,0.012,0.014,0.017,0.131
"Germ cells",0.002,0.004,0.006,0.014,0.017,0.145
"Goblet cells",0.002,0.009,0.015,0.022,0.025,0.144
"Hematopoietic stem cells",0.003,0.008,0.009,0.01,0.011,0.106
"Hepatocytes",0.002,0.015,0.042,0.05,0.081,0.145
"Intercalated cells",0.002,0.069,0.089,0.086,0.111,0.145
"Interneurons",0.002,0.015,0.021,0.026,0.028,0.146
"Keratinocytes",0.002,0.006,0.008,0.012,0.011,0.144
"Kupffer cells",0.002,0.013,0.019,0.026,0.031,0.145
"Leydig cells",0.003,0.024,0.058,0.054,0.076,0.141
"Luminal epithelial cells",0.002,0.008,0.01,0.011,0.012,0.141
"Macrophages",0.002,0.006,0.009,0.012,0.013,0.145
"Mammary epithelial cells",0.002,0.006,0.008,0.012,0.012,0.137
"Mast cells",0.002,0.009,0.012,0.018,0.017,0.142
"Melanocytes",0.003,0.011,0.013,0.014,0.016,0.124
"Mesothelial cells",0.002,0.007,0.009,0.012,0.013,0.138
"Microglia",0.002,0.006,0.01,0.014,0.017,0.144
"Myoblasts",0.003,0.011,0.014,0.016,0.018,0.094
"Myoepithelial cells",0.002,0.007,0.01,0.011,0.013,0.128
"Myofibroblasts",0.003,0.014,0.022,0.027,0.034,0.145
"Neural stem/precursor cells",0.002,0.01,0.013,0.013,0.016,0.131
"Neuroendocrine cells",0.002,0.019,0.027,0.033,0.042,0.142
"Neurons",0.002,0.013,0.019,0.025,0.029,0.146
"Neutrophils",0.002,0.003,0.005,0.006,0.008,0.145
"NK cells",0.002,0.005,0.007,0.007,0.009,0.107
"Nuocytes",0.002,0.007,0.01,0.013,0.015,0.112
"Olfactory epithelial cells",0.002,0.006,0.008,0.012,0.013,0.134
"Oligodendrocyte progenitor cells",0.002,0.013,0.019,0.021,0.025,0.142
"Oligodendrocytes",0.002,0.019,0.025,0.026,0.032,0.143
"Osteoblasts",0.003,0.012,0.018,0.026,0.029,0.145
"Paneth cells",0.002,0.009,0.024,0.04,0.064,0.146
"Pericytes",0.003,0.014,0.018,0.021,0.024,0.14
"Plasmacytoid dendritic cells",0.003,0.013,0.015,0.016,0.018,0.122
"Proximal tubule cells",0.002,0.032,0.056,0.061,0.087,0.146
"Pulmonary alveolar type I cells",0.002,0.011,0.014,0.019,0.021,0.134
"Pulmonary alveolar type II cells",0.002,0.01,0.013,0.019,0.02,0.145
"Purkinje neurons",0.002,0.014,0.022,0.03,0.038,0.145
"Red pulp macrophages",0.002,0.019,0.037,0.04,0.055,0.143
"Retinal ganglion cells",0.003,0.012,0.015,0.018,0.019,0.143
"Salivary mucous cells",0.002,0.019,0.032,0.046,0.068,0.144
"Satellite cells",0.005,0.016,0.021,0.028,0.029,0.137
"Schwann cells",0.002,0.013,0.021,0.024,0.033,0.146
"Sertoli cells",0.002,0.017,0.02,0.021,0.023,0.143
"Smooth muscle cells",0.002,0.013,0.023,0.027,0.034,0.143
"Stromal cells",0.003,0.014,0.024,0.028,0.036,0.141
"T cells",0.002,0.006,0.01,0.012,0.014,0.136
"T memory cells",0.002,0.008,0.011,0.012,0.014,0.142
"Tanycytes",0.003,0.026,0.034,0.037,0.044,0.136
"Trigeminal neurons",0.002,0.011,0.02,0.03,0.031,0.145
"Undefined placental cells",0.002,0.009,0.024,0.031,0.043,0.138
